kind,size,backend,round,requests,ok,failed,p50_ms,p95_ms,p99_ms,req_per_s
insert,20,aws-kms,1,180,180,0,26,41,327,10
insert,20,aws-kms,2,180,180,0,26,38,369,10
insert,20,aws-kms,3,180,180,0,26,40,384,10
insert,20,aws-kms-envelope,1,180,180,0,26,42,369,10
insert,20,aws-kms-envelope,2,180,180,0,27,43,384,10
insert,20,aws-kms-envelope,3,180,180,0,26,38,424,10
insert,20,zerokms,1,180,180,0,14,18,48,10
insert,20,zerokms,2,180,180,0,14,18,39,10
insert,20,zerokms,3,180,180,0,15,21,46,10
insert,100,aws-kms,1,90,90,0,314,854,1588,5
insert,100,aws-kms,2,90,90,0,321,1200,1686,5
insert,100,aws-kms,3,90,90,0,308,758,1496,5
insert,100,aws-kms-envelope,1,90,90,0,327,789,1526,5
insert,100,aws-kms-envelope,2,90,90,0,340,1274,1720,5
insert,100,aws-kms-envelope,3,90,90,0,334,1002,1588,5
insert,100,zerokms,1,90,90,0,40,52,62,5
insert,100,zerokms,2,90,90,0,40,49,61,5
insert,100,zerokms,3,90,90,0,44,53,63,5
insert,500,aws-kms,1,36,25,11,6065,7710,7866,2
insert,500,aws-kms,2,36,35,1,5945,7866,7866,2
insert,500,aws-kms,3,36,32,4,5945,7866,7866,2
insert,500,aws-kms-envelope,1,36,11,25,5945,7710,7710,2
insert,500,aws-kms-envelope,2,36,11,25,6065,7866,7866,2
insert,500,aws-kms-envelope,3,36,11,25,6703,7866,7866,2
insert,500,zerokms,1,36,36,0,773,821,821,2
insert,500,zerokms,2,36,36,0,789,821,821,2
insert,500,zerokms,3,36,36,0,789,821,837,2
insert,1000,aws-kms,1,18,10,8,6570,7408,7408,1
insert,1000,aws-kms,2,18,11,7,6570,7557,7557,1
insert,1000,aws-kms,3,18,7,11,6838,7557,7557,1
insert,1000,aws-kms-envelope,1,18,4,14,5945,6703,6703,1
insert,1000,aws-kms-envelope,2,18,4,14,5827,6838,6838,1
insert,1000,aws-kms-envelope,3,18,4,14,6065,6976,6976,1
insert,1000,zerokms,1,18,7,11,4676,6570,6570,1
insert,1000,zerokms,2,18,7,11,4676,6440,6440,1
insert,1000,zerokms,3,18,7,11,4676,6440,6440,1
query,20,aws-kms,1,180,180,0,24,34,327,10
query,20,aws-kms,2,180,180,0,28,41,392,10
query,20,aws-kms,3,180,180,0,32,97,433,5
query,20,aws-kms-envelope,1,180,180,0,24,35,334,10
query,20,aws-kms-envelope,2,180,180,0,16,35,362,10
query,20,aws-kms-envelope,3,180,180,0,23,42,392,10
query,20,zerokms,1,180,180,0,12,18,41,10
query,20,zerokms,2,180,180,0,15,32,55,10
query,20,zerokms,3,180,180,0,16,48,69,10
query,100,aws-kms,1,90,90,0,314,773,1557,5
query,100,aws-kms,2,90,90,0,308,672,1466,5
query,100,aws-kms,3,90,90,0,314,907,1588,5
query,100,aws-kms-envelope,1,90,90,0,321,728,1466,5
query,100,aws-kms-envelope,2,90,90,0,97,728,1496,5
query,100,aws-kms-envelope,3,90,90,0,103,821,1557,5
query,100,zerokms,1,90,90,0,40,48,56,5
query,100,zerokms,2,90,90,0,43,60,72,5
query,100,zerokms,3,90,90,0,49,81,89,5
query,500,aws-kms,1,36,36,0,3906,5488,5712,2
query,500,aws-kms,2,36,36,0,5827,7710,7710,2
query,500,aws-kms,3,36,27,9,6065,7866,7866,2
query,500,aws-kms-envelope,1,36,29,7,5945,7710,7710,2
query,500,aws-kms-envelope,2,36,36,0,5488,6838,6838,2
query,500,aws-kms-envelope,3,36,36,0,1353,4771,4771,2
query,500,zerokms,1,36,36,0,573,773,773,2
query,500,zerokms,2,36,36,0,488,805,821,2
query,500,zerokms,3,36,36,0,478,805,854,2
query,1000,aws-kms,1,18,18,0,5827,7866,7866,1
query,1000,aws-kms,2,18,10,8,6570,7866,7866,1
query,1000,aws-kms,3,18,13,5,6440,7866,7866,1
query,1000,aws-kms-envelope,1,18,6,12,5945,7408,7408,1
query,1000,aws-kms-envelope,2,18,13,5,6570,7866,7866,1
query,1000,aws-kms-envelope,3,18,18,0,1827,4676,4676,1
query,1000,zerokms,1,18,12,6,4584,7557,7557,1
query,1000,zerokms,2,18,12,6,5379,7557,7557,1
query,1000,zerokms,3,18,10,8,4065,6570,6570,1
