kind,batch,rate,backend,ok,failed,achieved_vps,offered_vps
insert,100,50,zerokms,900,0,15000,15000
insert,100,100,zerokms,1281,519,21350,30000
insert,100,200,zerokms,649,2951,10817,60000
insert,100,400,zerokms,539,6661,8983,120000
insert,100,800,zerokms,496,13904,8267,240000
query,100,50,zerokms,900,0,15000,15000
query,100,100,zerokms,1163,637,19383,30000
query,100,200,zerokms,630,2970,10500,60000
query,100,400,zerokms,529,6671,8817,120000
query,100,800,zerokms,497,13903,8283,240000
insert,100,50,aws-kms,16,884,267,15000
insert,100,100,aws-kms,16,1784,267,30000
insert,100,200,aws-kms,14,3586,233,60000
insert,100,400,aws-kms,12,7188,200,120000
insert,100,800,aws-kms,13,14387,217,240000
query,100,50,aws-kms,13,887,217,15000
query,100,100,aws-kms,13,1787,217,30000
query,100,200,aws-kms,12,3588,200,60000
query,100,400,aws-kms,11,7189,183,120000
query,100,800,aws-kms,10,14390,167,240000
insert,100,50,aws-kms-envelope,16,884,267,15000
insert,100,100,aws-kms-envelope,15,1785,250,30000
insert,100,200,aws-kms-envelope,13,3587,217,60000
insert,100,400,aws-kms-envelope,12,7188,200,120000
insert,100,800,aws-kms-envelope,11,14389,183,240000
query,100,50,aws-kms-envelope,168,732,2800,15000
query,100,100,aws-kms-envelope,219,1581,3650,30000
query,100,200,aws-kms-envelope,167,3433,2783,60000
query,100,400,aws-kms-envelope,131,7069,2183,120000
query,100,800,aws-kms-envelope,105,14295,1750,240000
