kind,size,backend,round,requests,ok,failed,p50_ms,p95_ms,p99_ms,req_per_s
insert,20,aws-kms,1,180,180,0,61,111,183,10
insert,20,aws-kms,2,180,180,0,60,111,133,10
insert,20,aws-kms,3,180,180,0,60,116,136,5
insert,20,aws-kms-envelope,1,180,180,0,61,111,136,10
insert,20,aws-kms-envelope,2,180,180,0,60,133,144,10
insert,20,aws-kms-envelope,3,180,180,0,60,118,136,10
insert,20,zerokms,1,180,180,0,35,42,52,10
insert,20,zerokms,2,180,180,0,34,43,61,10
insert,20,zerokms,3,180,180,0,34,48,60,10
insert,100,aws-kms,1,90,90,0,460,714,821,5
insert,100,aws-kms,2,90,90,0,442,686,714,5
insert,100,aws-kms,3,90,90,0,442,672,699,5
insert,100,aws-kms-envelope,1,90,90,0,450,699,758,5
insert,100,aws-kms-envelope,2,90,90,0,433,686,743,5
insert,100,aws-kms-envelope,3,90,90,0,433,686,714,5
insert,100,zerokms,1,90,90,0,62,81,233,5
insert,100,zerokms,2,90,90,0,61,86,273,5
insert,100,zerokms,3,90,90,0,57,84,242,5
insert,500,aws-kms,1,36,15,21,4965,7710,7710,2
insert,500,aws-kms,2,36,15,21,4965,7710,7710,2
insert,500,aws-kms,3,36,15,21,4965,7710,7710,2
insert,500,aws-kms-envelope,1,36,15,21,5168,7710,7710,2
insert,500,aws-kms-envelope,2,36,15,21,4867,7710,7710,2
insert,500,aws-kms-envelope,3,36,15,21,4965,7710,7710,2
insert,500,zerokms,1,36,36,0,424,488,728,2
insert,500,zerokms,2,36,36,0,460,714,854,2
insert,500,zerokms,3,36,36,0,433,498,672,2
insert,1000,aws-kms,1,18,6,12,4493,6440,6440,1
insert,1000,aws-kms,2,18,7,11,4965,6703,6703,1
insert,1000,aws-kms,3,18,7,11,4965,6703,6703,1
insert,1000,aws-kms-envelope,1,18,7,11,5168,6976,6976,1
insert,1000,aws-kms-envelope,2,18,6,12,4317,6312,6312,1
insert,1000,aws-kms-envelope,3,18,7,11,5168,6976,6976,1
insert,1000,zerokms,1,18,18,0,854,1043,1043,1
insert,1000,zerokms,2,18,18,0,889,1408,1408,1
insert,1000,zerokms,3,18,18,0,889,1064,1064,1
query,20,aws-kms,1,180,180,0,60,128,138,10
query,20,aws-kms,2,180,180,0,63,111,118,10
query,20,aws-kms,3,180,180,0,65,109,141,10
query,20,aws-kms-envelope,1,180,180,0,61,91,118,10
query,20,aws-kms-envelope,2,180,180,0,54,78,99,10
query,20,aws-kms-envelope,3,180,180,0,13,63,109,10
query,20,zerokms,1,180,180,0,39,53,60,10
query,20,zerokms,2,180,180,0,43,81,162,10
query,20,zerokms,3,180,180,0,41,59,63,10
query,100,aws-kms,1,90,90,0,450,699,773,5
query,100,aws-kms,2,90,90,0,450,686,758,5
query,100,aws-kms,3,90,90,0,460,699,743,3
query,100,aws-kms-envelope,1,90,90,0,433,672,728,5
query,100,aws-kms-envelope,2,90,90,0,187,584,728,5
query,100,aws-kms-envelope,3,90,90,0,194,584,728,5
query,100,zerokms,1,90,90,0,61,84,290,5
query,100,zerokms,2,90,90,0,74,925,1381,5
query,100,zerokms,3,90,90,0,63,113,302,5
query,500,aws-kms,1,36,15,21,5168,7866,7866,2
query,500,aws-kms,2,36,15,21,4965,7710,7710,2
query,500,aws-kms,3,36,15,21,4965,7710,7710,2
query,500,aws-kms-envelope,1,36,15,21,5272,7866,7866,2
query,500,aws-kms-envelope,2,36,27,9,3906,7710,7710,2
query,500,aws-kms-envelope,3,36,34,2,4147,7557,7710,2
query,500,zerokms,1,36,36,0,384,460,550,2
query,500,zerokms,2,36,36,0,392,460,561,2
query,500,zerokms,3,36,36,0,376,433,584,2
query,1000,aws-kms,1,18,6,12,4404,6838,6838,1
query,1000,aws-kms,2,18,7,11,5379,7261,7261,1
query,1000,aws-kms,3,18,7,11,4965,6838,6838,1
query,1000,aws-kms-envelope,1,18,6,12,4404,6570,6570,1
query,1000,aws-kms-envelope,2,18,17,1,6440,7710,7710,1
query,1000,aws-kms-envelope,3,18,14,4,5168,7117,7117,1
query,1000,zerokms,1,18,18,0,925,1300,1300,1
query,1000,zerokms,2,18,18,0,889,1064,1064,1
query,1000,zerokms,3,18,18,0,963,1130,1130,1
