kind,batch,rate,backend,ok,failed,achieved_vps,offered_vps
insert,100,10,zerokms,140,0,3000,3000
insert,100,25,zerokms,350,0,7500,7500
insert,100,50,zerokms,700,0,15000,15000
insert,100,100,zerokms,1400,0,30000,30000
query,100,10,zerokms,140,0,3000,3000
query,100,25,zerokms,350,0,7500,7500
query,100,50,zerokms,700,0,15000,15000
query,100,100,zerokms,1400,0,30000,30000
insert,100,10,aws-kms,116,24,2486,3000
insert,100,25,aws-kms,59,291,1264,7500
insert,100,50,aws-kms,38,662,814,15000
insert,100,100,aws-kms,34,1366,729,30000
query,100,10,aws-kms,109,31,2336,3000
query,100,25,aws-kms,57,293,1221,7500
query,100,50,aws-kms,27,673,579,15000
query,100,100,aws-kms,23,1377,493,30000
insert,100,10,aws-kms-envelope,107,33,2293,3000
insert,100,25,aws-kms-envelope,57,293,1221,7500
insert,100,50,aws-kms-envelope,36,664,771,15000
insert,100,100,aws-kms-envelope,33,1367,707,30000
query,100,10,aws-kms-envelope,112,28,2400,3000
query,100,25,aws-kms-envelope,55,295,1179,7500
query,100,50,aws-kms-envelope,32,668,686,15000
query,100,100,aws-kms-envelope,23,1377,493,30000
